作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	10	10	6	4
2	0	10	10	5	8
3	1	5	6	9	5
4	6	3	9	8	7
5	6	9	15	6	7
6	6	3	9	10	5
7	9	3	12	9	7
8	9	8	17	6	5
9	10	7	17	8	3
10	10	6	16	7	8
11	11	4	15	6	1
12	11	4	15	5	4
13	15	3	18	5	7
14	15	2	17	9	7
15	15	7	22	5	1
16	16	5	21	5	1
17	16	1	17	10	4
18	16	4	20	7	2
19	17	5	22	6	6
20	17	1	18	10	8
21	17	7	24	5	4
22	18	7	25	6	7
23	18	9	27	5	3
24	19	1	20	10	5
25	19	5	24	9	7
26	20	10	30	7	4
27	20	5	25	8	2
28	22	3	25	5	2
29	22	2	24	7	6
30	24	3	27	10	7
31	25	2	27	9	6
32	25	6	31	9	1
33	27	6	33	9	8
34	27	8	35	9	3
35	27	6	33	7	1
36	28	3	31	6	8
37	30	3	33	7	4
38	31	4	35	10	7
39	31	5	36	10	2
40	33	2	35	7	6
41	35	7	42	10	2
42	35	3	38	5	2
43	36	4	40	8	6
44	36	7	43	7	6
45	38	4	42	6	3
46	40	5	45	10	6
47	42	3	45	9	1
48	42	10	52	6	4
49	43	4	47	9	1
50	45	2	47	6	1
51	45	10	55	8	5
52	47	9	56	6	7
53	47	6	53	8	5
54	52	3	55	10	2
55	52	7	59	7	4
56	53	4	57	6	2
57	55	7	62	6	2
58	56	10	66	10	5
59	56	10	66	8	4
60	56	1	57	8	8
61	57	3	60	8	1
62	59	9	68	5	1
63	59	2	61	6	5
64	61	3	64	5	4
65	62	8	70	6	4
66	66	10	76	5	7
67	66	3	69	5	3
68	68	4	72	5	4
69	69	2	71	10	3
70	70	8	78	8	1
71	70	4	74	9	2
72	72	9	81	6	8
73	72	9	81	5	6
74	74	7	81	6	5
75	74	6	80	5	5
76	75	1	76	9	3
77	76	7	83	8	2
78	76	5	81	8	5
79	78	6	84	8	2
80	80	8	88	8	1
81	81	9	90	7	5
82	81	10	91	10	8
83	81	1	82	7	4
84	82	8	90	5	1
85	82	3	85	6	4
86	83	10	93	9	3
87	84	5	89	10	4
88	90	4	94	6	3
89	90	2	92	9	1
90	90	8	98	5	4
91	92	2	94	6	5
92	93	2	95	6	6
93	94	10	104	8	6
94	95	6	101	6	7
95	95	2	97	8	4
96	97	4	101	10	7
97	98	10	108	9	5
98	101	5	106	9	2
99	101	3	104	6	3
100	104	4	108	8	5
101	104	10	114	8	3
102	106	8	114	7	6
103	106	2	108	10	4
104	108	7	115	7	1
105	108	8	116	5	3
106	108	5	113	9	4
107	113	7	120	5	2
108	114	4	118	9	6
109	115	1	116	6	3
110	116	6	122	6	6
111	118	5	123	6	2
112	123	10	133	7	6
113	123	6	129	8	7
114	129	7	136	8	4
115	129	2	131	9	8
116	131	7	138	5	5
117	133	2	135	8	5
118	135	9	144	9	8
119	136	8	144	6	5
120	138	8	146	9	2
