作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	8	7
2	0	10	10	7	4
3	0	0	0	9	4
4	0	0	0	5	6
5	8	6	14	7	1
6	8	4	12	5	5
7	10	4	14	9	8
8	10	6	16	10	4
9	10	6	16	10	7
10	10	6	16	10	5
11	16	3	19	9	7
12	16	8	24	9	1
13	16	1	17	9	6
14	16	6	22	8	7
15	16	1	17	7	8
16	16	5	21	8	6
17	17	1	18	7	7
18	21	4	25	7	3
19	21	7	28	9	6
20	21	9	30	5	7
21	24	1	25	5	5
22	24	10	34	5	8
23	24	1	25	7	5
24	24	3	27	9	4
25	25	6	31	5	6
26	25	3	28	7	8
27	27	2	29	5	1
28	28	4	32	5	7
29	30	6	36	8	5
30	34	6	40	9	7
