作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	8	3
2	0	3	3	5	7
3	0	8	8	10	4
4	0	0	0	7	1
5	0	0	0	5	7
6	3	5	8	5	4
7	3	7	10	6	7
8	8	8	16	9	4
9	8	9	17	7	8
10	8	7	15	6	6
11	10	6	16	5	2
12	10	2	12	9	5
13	10	8	18	5	4
14	15	10	25	9	5
15	15	8	23	9	4
16	16	2	18	9	2
17	17	3	20	9	2
18	17	10	27	7	5
19	18	9	27	7	4
20	18	10	28	8	8
21	18	6	24	8	6
22	24	8	32	7	1
23	24	10	34	6	3
24	27	6	33	5	4
25	27	9	36	8	7
26	27	9	36	7	7
27	28	1	29	6	7
28	28	6	34	5	5
29	32	10	42	5	8
30	34	8	42	6	6
31	34	3	37	7	4
32	36	10	46	5	1
33	36	8	44	8	7
34	36	10	46	5	1
35	37	7	44	5	6
36	37	8	45	8	3
37	42	10	52	6	4
38	42	3	45	7	5
39	44	3	47	5	1
40	45	9	54	6	4
41	46	9	55	7	6
42	46	1	47	9	8
43	47	10	57	10	1
44	47	4	51	9	8
45	51	6	57	7	2
46	52	4	56	6	4
47	52	7	59	9	6
48	55	4	59	6	1
49	57	6	63	5	5
50	57	6	63	8	5
51	59	6	65	6	2
52	59	1	60	9	4
53	59	3	62	6	3
54	59	1	60	8	8
55	60	10	70	5	6
56	62	10	72	9	1
57	63	8	71	7	6
58	63	4	67	5	6
59	67	3	70	7	4
60	72	1	73	10	8
