作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	1	4	5	6	2
2	1	8	9	7	1
3	1	10	11	2	3
4	1	8	9	4	7
5	2	4	6	1	6
6	2	9	11	6	3
7	3	2	5	1	7
8	3	5	8	1	8
9	3	3	6	6	4
10	3	9	12	9	1
11	6	1	7	5	4
12	7	4	11	7	6
13	7	3	10	4	4
14	8	6	14	9	6
15	9	5	14	9	4
16	9	8	17	9	1
17	9	9	18	4	8
18	10	1	11	1	2
19	10	7	17	9	4
20	11	1	12	10	5
21	12	1	13	10	3
22	12	8	20	8	5
23	14	10	24	7	6
24	14	1	15	5	4
25	14	1	15	10	10
26	14	6	20	4	8
27	15	4	19	2	4
28	17	6	23	2	6
29	18	7	25	10	1
30	18	9	27	4	1
31	19	1	20	4	4
32	19	7	26	1	1
33	19	9	28	6	3
34	21	8	29	5	2
35	21	1	22	7	10
36	22	6	28	5	5
37	23	4	27	9	6
38	23	4	27	9	1
39	23	6	29	5	10
40	23	4	27	2	10
41	23	6	29	9	6
42	24	2	26	9	6
43	25	5	30	7	1
44	26	8	34	4	6
45	26	2	28	8	9
46	26	10	36	3	5
47	26	3	29	8	1
48	27	1	28	2	4
49	27	4	31	8	4
50	27	6	33	1	8
51	28	5	33	1	8
52	28	3	31	7	3
53	30	7	37	10	6
54	30	4	34	10	7
55	32	10	42	10	6
56	33	1	34	7	10
57	33	7	40	10	1
58	33	1	34	8	1
59	34	7	41	5	6
60	34	8	42	9	9
61	34	2	36	2	1
62	34	2	36	5	2
63	34	10	44	10	7
64	36	7	43	7	5
65	36	9	45	7	3
66	37	2	39	3	8
67	37	10	47	8	9
68	37	8	45	4	2
69	37	8	45	3	4
70	38	5	43	7	9
71	39	6	45	5	9
72	39	6	45	1	2
73	39	9	48	3	8
74	41	10	51	9	7
75	41	1	42	1	5
76	41	7	48	2	7
77	41	5	46	2	8
78	41	4	45	9	9
79	41	6	47	8	2
80	42	10	52	10	3
81	42	10	52	3	3
82	43	1	44	1	7
83	43	7	50	10	6
84	44	2	46	5	8
85	44	9	53	1	4
86	46	9	55	6	10
87	48	6	54	1	10
88	48	8	56	10	5
89	48	4	52	9	7
90	48	2	50	7	4
